vehicle_id,ev_model_name,battery_pack_id,age_months,odometer_km,fast_charging_share,avg_daily_km,avg_temperature,voltage_mean,current_mean,soh_percent,rul_months,rul_cycles,rul_cycles
EV0017,MG ZS EV,BAT018,49,39810,60,27.1,24.81,368.12,252.22,86.02,74.3,815,815
EV0018,Tata Nexon EV,BAT034,93,129643,47,46.5,40.05,413.24,299.31,60,0,814,814
EV0019,MG ZS EV,BAT030,36,46105,46,42.7,41.8,404.45,253.62,78.26,52.2,813,813
EV0020,Tata Nexon EV,BAT011,11,13034,65,39.5,42.91,363.86,252.4,89.8,85.1,812,812
EV0021,BYD Atto 3,BAT028,27,32769,14,40.5,33.36,377.2,262.7,85.3,72.3,811,811
EV0022,BMW i4,BAT016,23,23242,65,33.7,34.4,356.35,138.46,91.31,89.5,810,810
EV0023,Kia EV6,BAT039,15,29329,32,65.2,23.73,415.9,284.86,94.81,99.5,809,809
EV0024,Nissan Leaf,BAT037,47,83516,32,59.2,25.38,356.35,162.65,67.69,22,808,808
EV0025,BMW i4,BAT037,16,25162,26,52.4,33.17,395.74,277.11,91.05,88.7,807,807
EV0026,Hyundai Kona EV,BAT021,56,92649,37,55.1,38.57,389.3,219.55,70.5,30,806,806
EV0027,Audi e-tron,BAT032,15,20654,12,45.9,36.55,383.54,265.31,92.55,93,805,805
EV0028,MG ZS EV,BAT035,6,8947,51,49.7,43.38,351.41,272.73,93.85,96.7,804,804
EV0029,Audi e-tron,BAT013,34,36561,18,35.8,28.75,415.22,249.62,81.79,62.3,803,803
EV0030,MG ZS EV,BAT050,88,155889,69,59,35.92,361.02,234.16,60,0,802,802
EV0031,Kia EV6,BAT010,63,91495,36,48.4,39.91,416.58,210.15,64.61,13.2,801,801
EV0032,Nissan Leaf,BAT031,45,34831,19,25.8,31.35,357.64,288.31,68.47,24.2,800,800
EV0033,Tesla Model 3,BAT010,64,96435,70,50.2,34.59,402.17,188.61,79.13,54.7,799,799
EV0034,BYD Atto 3,BAT015,87,170976,63,65.5,38.42,351.96,112.41,63.12,8.9,798,798
EV0035,BYD Atto 3,BAT027,89,172330,46,64.5,42.23,353.67,278.8,60,0,797,797
EV0036,Hyundai Kona EV,BAT011,23,13341,8,19.3,40.21,398.31,255.26,84.03,68.7,796,796
EV0037,Kia EV6,BAT049,13,9302,33,23.9,28.72,385.4,161.77,90.33,86.7,795,795
EV0038,Kia EV6,BAT005,1,537,5,17.9,41.76,359.08,243.5,99.5,112.9,794,794
EV0039,Audi e-tron,BAT028,65,37790,42,19.4,39.4,393.94,122.07,77.24,49.3,793,793
EV0040,Audi e-tron,BAT029,89,109028,56,40.8,22.38,400.58,297.94,60,0,792,792
EV0041,Kia EV6,BAT007,4,7290,51,60.8,30.05,355.36,272.83,97.1,106,791,791
EV0042,Kia EV6,BAT013,6,7841,8,43.6,25.03,398.85,130.38,97.1,106,790,790
EV0043,Tesla Model 3,BAT017,25,15036,48,20,28.68,385.82,156.77,82.97,65.6,789,789
EV0044,Tesla Model 3,BAT024,59,112737,43,63.7,23.47,360.11,203.83,60,0,788,788
EV0045,Tesla Model 3,BAT008,54,84170,64,52,41.43,368.77,274.12,66.47,18.5,787,787
EV0046,BYD Atto 3,BAT011,65,103712,58,53.2,25.32,405.74,107.33,60.6,1.7,786,786
EV0047,Mahindra XUV400,BAT022,73,77797,67,35.5,27.52,394.99,248.57,60,0,785,785
EV0048,Audi e-tron,BAT028,3,2231,67,24.8,26.61,414.68,240.01,95.81,102.3,784,784
EV0049,Mahindra XUV400,BAT031,29,27822,41,32,27.14,415.57,189.42,92.23,92.1,783,783
EV0050,Nissan Leaf,BAT034,12,9950,48,27.6,21.97,410.15,227.15,95.73,102.1,782,782
EV0051,Tata Nexon EV,BAT013,34,36295,37,35.6,23.94,386.24,277.59,87.58,78.8,781,781
EV0052,Nissan Leaf,BAT007,82,94372,16,38.4,44.43,382.85,251.71,60,0,780,780
EV0053,MG ZS EV,BAT030,71,91163,62,42.8,22.36,354.66,232.31,60,0,779,779
EV0054,BYD Atto 3,BAT005,88,62511,48,23.7,32.53,418.19,289.7,60,0,778,778
EV0055,Tata Nexon EV,BAT048,62,65136,33,35,30.6,364.93,115.43,80.31,58,777,777
EV0056,Nissan Leaf,BAT017,52,40199,60,25.8,37.36,368.25,177.29,78.87,53.9,776,776
EV0057,MG ZS EV,BAT030,30,51990,58,57.8,21.25,371.95,174.59,79.3,55.1,775,775
EV0058,MG ZS EV,BAT007,61,68939,60,37.7,24.68,370.74,188.77,83.72,67.8,774,774
EV0059,Tesla Model 3,BAT023,12,13454,50,37.4,20.52,411.75,146.02,91.65,90.4,773,773
EV0060,Tata Nexon EV,BAT025,80,150388,5,62.7,34.55,382.16,239.82,67.77,22.2,839,839
EV0061,Nissan Leaf,BAT027,37,50746,28,45.7,26.58,376.47,258.03,86.93,76.9,838,838
EV0062,Tata Nexon EV,BAT009,31,49098,6,52.8,22.92,378.7,241.01,84.63,70.4,837,837
EV0063,Nissan Leaf,BAT033,62,108986,27,58.6,25.96,372.4,112.1,78.38,52.5,836,836
EV0064,Hyundai Kona EV,BAT009,51,25724,9,16.8,38.52,375.62,241.92,68.46,24.2,835,835
EV0065,Tesla Model 3,BAT042,43,31727,64,24.6,44.69,352.46,161.4,72.77,36.5,834,834
EV0066,Nissan Leaf,BAT039,24,24022,15,33.4,31.47,362.38,251.87,93.71,96.3,833,833
EV0067,BMW i4,BAT009,77,82497,58,35.7,21.37,365.99,191.93,60,0,832,832
EV0068,BMW i4,BAT035,34,24840,52,24.4,39.21,381.94,189.72,90.09,86,831,831
EV0069,BYD Atto 3,BAT015,54,70846,52,43.7,39.42,401.63,224.15,68.92,25.5,830,830
EV0070,Mahindra XUV400,BAT035,3,2243,20,24.9,44.42,376.66,193.22,98.11,108.9,829,829
EV0071,Nissan Leaf,BAT001,92,158423,20,57.4,27.34,415.81,193.37,75.9,45.4,828,828
EV0072,Kia EV6,BAT001,42,48292,64,38.3,36.09,362.65,130.54,87.71,79.2,827,827
EV0073,Mahindra XUV400,BAT041,21,12087,20,19.2,38.12,397.46,239.04,83.49,67.1,826,826
EV0074,Mahindra XUV400,BAT045,62,108500,11,58.3,30.47,359.25,124.77,80.19,57.7,825,825
EV0075,Kia EV6,BAT020,22,27108,69,41.1,43.39,415.47,248.92,85.9,74,824,824
EV0076,Mahindra XUV400,BAT020,13,20047,14,51.4,38.37,402.06,222.22,94.68,99.1,823,823
EV0077,Audi e-tron,BAT007,69,84831,18,41,25.87,390.8,154.17,60.2,0.6,822,822
EV0078,Tesla Model 3,BAT016,87,74331,41,28.5,31.98,397.76,221.14,67.69,22,821,821
EV0079,MG ZS EV,BAT003,37,40097,19,36.1,29.38,417.79,138.37,73.22,37.8,820,820
EV0080,Hyundai Kona EV,BAT014,20,25388,14,42.3,34.92,399.58,277.96,94.55,98.7,819,819
EV0081,Mahindra XUV400,BAT047,32,33796,34,35.2,33.78,350.07,243.63,74.51,41.5,818,818
EV0082,Mahindra XUV400,BAT045,58,61920,26,35.6,24.27,376.91,293.34,60,0,817,817
EV0083,Nissan Leaf,BAT018,73,72392,66,33.1,27.13,386.25,164.49,64.18,11.9,816,816
EV0084,Kia EV6,BAT049,46,47017,25,34.1,37.95,371.24,185.22,83.55,67.3,815,815
EV0085,Mahindra XUV400,BAT003,7,13015,67,62,37.12,414.4,154.54,92.98,94.2,814,814
EV0086,Kia EV6,BAT028,79,107135,36,45.2,41.02,360.08,140.35,62.1,6,813,813
EV0087,Audi e-tron,BAT015,14,14081,33,33.5,38,395.93,133.92,95.59,101.7,812,812
EV0088,Nissan Leaf,BAT011,73,76345,29,34.9,27.77,411.37,138.83,68.45,24.1,811,811
EV0089,Mahindra XUV400,BAT044,70,74619,5,35.5,32.2,374.59,283.86,60,0,810,810
EV0090,Kia EV6,BAT016,8,14848,67,61.9,32.08,381.96,244.06,94.44,98.4,809,809
EV0091,Tata Nexon EV,BAT003,76,53480,25,23.5,31.14,412.56,139.11,75.6,44.6,808,808
EV0092,Tesla Model 3,BAT022,92,149398,6,54.1,42.61,351.38,298.16,60,0,807,807
EV0093,Tesla Model 3,BAT004,91,177003,68,64.8,39.39,369.75,175.09,60,0,806,806
EV0094,Kia EV6,BAT002,82,135927,29,55.3,27.69,359.05,231.43,81.8,62.3,805,805
EV0095,Hyundai Kona EV,BAT041,25,21820,27,29.1,35.11,403.04,243.15,88.58,81.7,804,804
EV0096,Audi e-tron,BAT036,38,74664,67,65.5,43.42,360.75,156.26,79.43,55.5,803,803
EV0097,Tesla Model 3,BAT028,65,79809,22,40.9,24.64,393.74,241.35,60,0,802,802
EV0098,BYD Atto 3,BAT042,64,89021,38,46.4,37.5,384.58,236.79,75.7,44.9,801,801
EV0099,BMW i4,BAT024,1,682,58,22.7,20.84,376.18,275.26,97.9,108.3,800,800
EV0100,Hyundai Kona EV,BAT021,1,1623,67,54.1,44.08,351.29,273.1,97.33,106.7,799,799
EV0101,Tesla Model 3,BAT050,43,67585,7,52.4,26.05,393.82,207.62,76.6,47.4,798,798
EV0102,MG ZS EV,BAT020,36,26670,29,24.7,21.05,372,298.08,89.6,84.6,797,797
EV0103,Nissan Leaf,BAT009,72,58768,41,27.2,39.15,375.12,187.44,72.7,36.3,796,796
EV0104,Hyundai Kona EV,BAT027,61,111003,46,60.7,20.31,381.39,171.14,78.26,52.2,795,795
EV0105,Tesla Model 3,BAT041,31,52917,24,56.9,44.67,412.4,158.01,90.06,85.9,794,794
EV0106,MG ZS EV,BAT020,93,126631,5,45.4,34.15,351.96,116.98,60,0,793,793
EV0107,Tata Nexon EV,BAT022,42,47387,70,37.6,38.36,362.99,268.07,78.81,53.7,792,792
EV0108,Tesla Model 3,BAT009,28,28649,14,34.1,24.38,388.53,248.16,89.47,84.2,791,791
EV0109,Audi e-tron,BAT018,56,80944,33,48.2,44.14,412.13,275.33,66.54,18.7,790,790
EV0110,MG ZS EV,BAT006,41,69563,47,56.6,36.99,377.04,159.64,83.66,67.6,789,789
EV0111,Kia EV6,BAT034,21,17095,61,27.1,36.15,358.19,103.96,89.3,83.7,788,788
EV0112,Tata Nexon EV,BAT033,33,21935,25,22.2,21.37,361.16,121.56,86.82,76.6,787,787
EV0113,Mahindra XUV400,BAT019,17,10342,21,20.3,36.59,407.21,224.87,90.22,86.3,786,786
EV0114,Nissan Leaf,BAT008,25,23727,55,31.6,43.19,362.07,155.52,91.77,90.8,785,785
EV0115,Audi e-tron,BAT040,52,30061,9,19.3,39.38,417.17,121.51,71.9,34,784,784
EV0116,Nissan Leaf,BAT042,20,38475,24,64.1,29.38,409.16,275.41,89.39,84,783,783
EV0117,Nissan Leaf,BAT015,65,106985,19,54.9,25.23,377.39,184.69,60,0,782,782
EV0118,Tata Nexon EV,BAT024,34,49131,59,48.2,44.73,382.01,218.91,73.64,39,781,781
EV0119,BMW i4,BAT009,30,45770,36,50.9,20.82,372.53,123.48,89.08,83.1,780,780
EV0120,Hyundai Kona EV,BAT022,95,136102,59,47.8,41.65,378.74,103.28,60,0,879,879
EV0121,Mahindra XUV400,BAT036,71,92977,64,43.7,44.31,358.2,157.84,83.08,65.9,878,878
EV0122,Tata Nexon EV,BAT020,41,57406,24,46.7,27.2,393.41,228.41,74.11,40.3,877,877
EV0123,Kia EV6,BAT014,36,53732,55,49.8,22.44,418.89,119.3,84.35,69.6,876,876
EV0124,Kia EV6,BAT026,59,101170,36,57.2,28.21,389.86,264.71,70.47,29.9,875,875
EV0125,Tata Nexon EV,BAT017,66,72442,27,36.6,23.09,395.37,139.76,63.64,10.4,874,874
EV0126,Kia EV6,BAT029,39,35028,63,29.9,28.26,362.73,153.25,73.83,39.5,873,873
EV0127,Hyundai Kona EV,BAT009,79,45269,45,19.1,43.31,373.3,155.48,60.48,1.4,872,872
EV0128,Tesla Model 3,BAT050,78,150998,35,64.5,37.5,369.95,171.93,70.76,30.7,871,871
EV0129,BMW i4,BAT034,80,90272,10,37.6,39.89,365.15,195.77,63.8,10.9,870,870
EV0130,Hyundai Kona EV,BAT020,19,30701,48,53.9,37.19,399.62,183.35,88.57,81.6,869,869
EV0131,Mahindra XUV400,BAT032,9,6685,53,24.8,40.37,399.68,120.51,92.24,92.1,868,868
EV0132,BMW i4,BAT035,22,41668,10,63.1,29.51,394.52,109.9,82.39,64,867,867
EV0133,Kia EV6,BAT044,83,105390,49,42.3,26.79,375.95,240.74,60,0,866,866
EV0134,Hyundai Kona EV,BAT002,79,142584,57,60.2,27.22,390.75,283.11,60,0,865,865
EV0135,Tesla Model 3,BAT002,52,80915,9,51.9,22.83,398.39,259.86,83.08,65.9,864,864
EV0136,MG ZS EV,BAT006,25,37266,37,49.7,39.78,359.54,175.67,84.16,69,863,863
EV0137,Nissan Leaf,BAT005,38,25123,12,22,36.1,417.59,193.34,72.51,35.7,862,862
EV0138,Mahindra XUV400,BAT030,7,7789,20,37.1,42.38,360.66,249.8,97.65,107.6,861,861
EV0139,Hyundai Kona EV,BAT027,32,22915,62,23.9,38.45,391.34,252.37,83.4,66.9,860,860
EV0140,Tesla Model 3,BAT046,34,25560,26,25.1,36.83,406.54,208.45,84.69,70.5,859,859
EV0141,BMW i4,BAT013,50,91289,16,60.9,20.15,384.17,161.22,89.52,84.3,858,858
EV0142,BMW i4,BAT007,32,36159,59,37.7,33.97,404.93,164.59,73.53,38.7,857,857
EV0143,Nissan Leaf,BAT030,29,39982,39,46,34.85,369.22,278.64,89.03,82.9,856,856
EV0144,Tesla Model 3,BAT001,29,25745,23,29.6,21.61,385.42,232.17,88.55,81.6,855,855
EV0145,BMW i4,BAT005,14,8592,48,20.5,32.57,350.37,264.91,95.7,102,854,854
EV0146,Audi e-tron,BAT003,44,51259,57,38.8,27.84,386.42,215.34,67.4,21.1,853,853
EV0147,Tata Nexon EV,BAT022,25,21602,55,28.8,31.72,365.78,283.48,87.2,77.7,852,852
EV0148,Mahindra XUV400,BAT001,11,14463,36,43.8,29.88,418.01,217.74,92.66,93.3,851,851
EV0149,BMW i4,BAT003,61,32461,18,17.7,42.45,384.14,221.63,60.8,2.3,850,850
EV0150,Mahindra XUV400,BAT026,85,146034,67,57.3,20.63,368.77,180.5,60,0,849,849
EV0151,BYD Atto 3,BAT050,68,114026,63,55.9,30.88,351.18,247.32,61.58,4.5,848,848
EV0152,Tesla Model 3,BAT044,62,94737,45,50.9,22.19,382.94,157.83,60,0,847,847
EV0153,BYD Atto 3,BAT020,23,30955,55,44.9,23.61,374.53,137.8,85.64,73.3,846,846
EV0154,Kia EV6,BAT001,11,14368,13,43.5,27.34,388.65,163.07,94.48,98.5,845,845
EV0155,Tesla Model 3,BAT023,52,102171,18,65.5,38.81,418.29,278.54,85.85,73.9,844,844
EV0156,BYD Atto 3,BAT014,94,115446,70,40.9,30.01,375.71,146.63,60,0,843,843
EV0157,Tesla Model 3,BAT025,23,11830,26,17.1,44.63,412.13,227.09,82.96,65.6,842,842
EV0158,Hyundai Kona EV,BAT046,94,165838,17,58.8,22.91,383.11,152.16,60,0,841,841
EV0159,Mahindra XUV400,BAT012,39,22236,61,19,39.62,405.26,153.44,88.6,81.7,840,840
EV0160,MG ZS EV,BAT008,52,93260,38,59.8,26.21,392.86,168.99,60,0,839,839
EV0161,Mahindra XUV400,BAT017,87,165914,16,63.6,30.38,394.57,116.18,60,0,838,838
EV0162,Kia EV6,BAT039,14,10769,33,25.6,33.32,401.4,246.26,92.44,92.7,837,837
EV0163,BYD Atto 3,BAT049,9,9722,24,36,28.46,353.88,215.94,96.76,105,836,836
EV0164,MG ZS EV,BAT026,71,88451,52,41.5,34.03,350.55,190.23,60,0,835,835
EV0165,Kia EV6,BAT036,55,63663,16,38.6,28.45,412.42,137.95,63.45,9.9,834,834
EV0166,Tata Nexon EV,BAT016,65,97648,41,50.1,38.12,372.66,170.69,60,0,833,833
EV0167,Tata Nexon EV,BAT026,49,82483,24,56.1,42.5,401.7,191.24,72.78,36.5,832,832
EV0168,Nissan Leaf,BAT040,44,22719,30,17.2,21.58,393.66,142.12,69.92,28.3,831,831
EV0169,Mahindra XUV400,BAT012,66,48793,70,24.6,25.31,419.19,108.14,60,0,830,830
EV0170,Kia EV6,BAT021,16,11585,54,24.1,41.24,368.64,222.75,92.39,92.5,829,829
EV0171,Tesla Model 3,BAT021,73,124703,51,56.9,36.64,375.87,262.53,83.54,67.3,828,828
EV0172,Kia EV6,BAT025,92,133875,50,48.5,20.21,388.7,268.68,62.65,7.6,827,827
EV0173,Hyundai Kona EV,BAT040,52,70479,18,45.2,22.22,350.36,105.47,81.05,60.1,826,826
EV0174,BYD Atto 3,BAT008,86,48233,10,18.7,27.84,417.89,219.45,60.82,2.3,825,825
EV0175,Mahindra XUV400,BAT048,46,47037,48,34.1,41.42,387.99,200.08,76.77,47.9,824,824
EV0176,Kia EV6,BAT002,96,101986,51,35.4,26.21,419.11,253.11,60,0,823,823
EV0177,MG ZS EV,BAT050,88,87896,58,33.3,31.82,353.24,295.39,69.91,28.3,822,822
EV0178,Nissan Leaf,BAT048,2,1545,16,25.8,33.58,391.04,227.63,98.44,109.8,821,821
EV0179,MG ZS EV,BAT004,34,32587,18,31.9,23.75,413.81,104.24,87.98,79.9,820,820
EV0180,Audi e-tron,BAT007,87,150730,33,57.8,34.14,393.61,139.3,60,0,997,997
EV0181,BMW i4,BAT038,30,56874,27,63.2,26.63,401.1,100.06,79.68,56.2,996,996
EV0182,Tesla Model 3,BAT011,52,100433,23,64.4,26.07,396.94,122.75,73.89,39.7,995,995
EV0183,Mahindra XUV400,BAT004,28,31089,5,37,29.25,382.67,261.06,83.96,68.5,994,994
EV0184,Hyundai Kona EV,BAT014,89,120463,28,45.1,26.87,394.09,181.76,60,0,993,993
EV0185,BYD Atto 3,BAT039,70,55378,58,26.4,42.85,403.08,176.49,76.15,46.1,992,992
EV0186,Nissan Leaf,BAT042,58,114094,10,65.6,26.16,381.6,267.55,60,0,991,991
EV0187,Hyundai Kona EV,BAT021,19,32655,25,57.3,30.54,383.1,185.1,85.33,72.4,990,990
EV0188,Mahindra XUV400,BAT042,49,73736,34,50.2,44.54,382.19,258.78,83.86,68.2,989,989
EV0189,Hyundai Kona EV,BAT037,91,56517,41,20.7,28.25,393.27,152.55,69.86,28.2,988,988
EV0190,Hyundai Kona EV,BAT024,44,47455,16,36,41.25,377.6,102.22,89.72,84.9,987,987
EV0191,Mahindra XUV400,BAT027,25,21926,18,29.2,35.76,410.5,286.68,79.99,57.1,986,986
EV0192,Tata Nexon EV,BAT018,83,47749,39,19.2,23.96,403.77,256.34,80.39,58.3,985,985
EV0193,Audi e-tron,BAT020,91,144756,62,53,23.77,402.49,176.42,69.41,26.9,984,984
EV0194,BMW i4,BAT040,47,58839,63,41.7,28.59,401.79,294.27,71.26,32.2,983,983
EV0195,Mahindra XUV400,BAT038,57,69145,18,40.4,23.88,395.52,233.93,65.21,14.9,982,982
EV0196,Kia EV6,BAT024,86,163726,45,63.5,40.86,373.66,241.24,60,0,981,981
EV0197,BYD Atto 3,BAT029,44,73260,22,55.5,39.2,384.52,125,73.07,37.3,980,980
EV0198,BYD Atto 3,BAT038,46,62292,51,45.1,28.76,414.85,156.33,85.56,73,979,979
EV0199,Tata Nexon EV,BAT008,50,27694,65,18.5,35.73,397.96,140.35,87.98,79.9,978,978
EV0200,Tata Nexon EV,BAT023,88,162427,38,61.5,38.23,405.83,104,60,0,977,977
EV0201,Tata Nexon EV,BAT003,19,21811,41,38.3,26.5,365.77,125.09,91.82,90.9,976,976
EV0202,BYD Atto 3,BAT037,56,89414,27,53.2,42.61,403.01,273.62,84.34,69.5,975,975
EV0203,Hyundai Kona EV,BAT003,30,21893,58,24.3,34.55,403.77,165.18,81.34,61,974,974
EV0204,BMW i4,BAT034,89,152823,13,57.2,37.95,387.03,111.43,60,0,973,973
EV0205,Tata Nexon EV,BAT047,36,43929,26,40.7,26.77,383.43,125.83,77.03,48.7,972,972
EV0206,MG ZS EV,BAT040,16,31341,67,65.3,21.76,359.47,200.22,91.91,91.2,971,971
EV0207,BYD Atto 3,BAT009,26,43777,43,56.1,42.65,384.42,175.64,78.74,53.5,970,970
EV0208,BYD Atto 3,BAT005,63,37735,38,20,28.63,376.48,118.56,75.09,43.1,969,969
EV0209,Tata Nexon EV,BAT036,81,94806,12,39,31.25,401.51,225.88,60,0,968,968
EV0210,Nissan Leaf,BAT033,12,20177,44,56,33.27,402.7,188.03,94.73,99.2,967,967
EV0211,Mahindra XUV400,BAT025,95,62171,41,21.8,24.45,415.38,124.87,78.56,53,966,966
EV0212,Tesla Model 3,BAT043,76,151212,70,66.3,42.16,397.07,239.35,72.5,35.7,965,965
EV0213,Tata Nexon EV,BAT036,16,13959,26,29.1,28.65,353.03,198.24,93.13,94.7,964,964
EV0214,MG ZS EV,BAT004,39,73537,68,62.9,24.79,359.87,108.63,67.33,20.9,963,963
EV0215,Kia EV6,BAT045,44,44272,46,33.5,36.55,366.46,143.29,81.4,61.1,962,962
EV0216,Mahindra XUV400,BAT020,28,18695,26,22.3,22.07,414.44,205.37,86.08,74.5,961,961
EV0217,MG ZS EV,BAT013,70,86924,61,41.4,40.36,371.68,164.81,75.49,44.3,960,960
EV0218,Hyundai Kona EV,BAT001,1,1787,22,59.6,42.35,387.3,297.64,98.69,110.5,959,959
EV0219,BYD Atto 3,BAT023,24,25013,58,34.7,21.76,388.3,161.93,84.59,70.3,958,958
EV0220,BYD Atto 3,BAT010,70,106015,64,50.5,28.07,385.21,125.66,60,0,957,957
EV0221,Mahindra XUV400,BAT002,48,73642,26,51.1,31.98,383.72,235.56,66.5,18.6,956,956
EV0222,Tata Nexon EV,BAT030,74,139881,40,63,39.15,374.88,298.86,60.47,1.3,955,955
EV0223,MG ZS EV,BAT016,87,137634,70,52.7,29.93,402.51,203.19,60,0,954,954
EV0224,BMW i4,BAT008,47,73528,40,52.1,34.42,352.5,265.04,76.65,47.6,953,953
EV0225,MG ZS EV,BAT013,9,15957,69,59.1,35.05,401.97,126.21,92.68,93.4,952,952
EV0226,MG ZS EV,BAT009,12,14098,58,39.2,37.41,419.15,245.55,93.79,96.5,951,951
EV0227,BMW i4,BAT026,81,73717,22,30.3,35.11,352.23,274.35,60,0,950,950
EV0228,Tesla Model 3,BAT032,84,44110,29,17.5,32.79,412.22,228.06,77.08,48.8,949,949
EV0229,Tata Nexon EV,BAT003,36,61561,54,57,20.47,400.74,136.23,81.82,62.3,948,948
EV0230,Kia EV6,BAT047,81,131762,26,54.2,24.46,400.69,218.59,60,0,947,947
EV0231,Kia EV6,BAT032,76,85965,14,37.7,42.31,388.48,187.3,60,0,946,946
EV0232,Tata Nexon EV,BAT010,89,117065,40,43.8,34.18,418.94,209.48,60,0,945,945
EV0233,MG ZS EV,BAT036,85,82479,55,32.3,37.89,374.2,182.12,79.61,56,944,944
EV0234,Audi e-tron,BAT050,72,42989,29,19.9,33.08,397.84,179.71,69.56,27.3,943,943
EV0235,BYD Atto 3,BAT031,84,110761,34,44,44.35,411.55,289.63,60,0,942,942
EV0236,MG ZS EV,BAT025,53,46709,56,29.4,43.56,367.63,139.14,80.74,59.3,941,941
EV0237,Tesla Model 3,BAT040,87,169904,58,65.1,24.36,368.86,234.74,60,0,940,940
EV0238,BMW i4,BAT015,45,48467,28,35.9,35.47,376.45,113.51,76.31,46.6,939,939
EV0239,Tesla Model 3,BAT035,22,21465,46,32.5,22.61,419.83,152.67,92.44,92.7,938,938
EV0240,Mahindra XUV400,BAT015,54,101805,45,62.8,38.39,398.53,240.2,87.32,78.1,797,797
EV0241,Tata Nexon EV,BAT008,64,57826,64,30.1,28.84,390.14,238.74,75.6,44.6,796,796
EV0242,Hyundai Kona EV,BAT036,44,46972,48,35.6,31.14,364.88,179.71,70.59,30.3,795,795
EV0243,Tata Nexon EV,BAT012,92,74450,42,27,39.29,370.34,243.98,60,0,794,794
EV0244,Audi e-tron,BAT040,95,74299,39,26.1,33.69,363.84,185.3,60,0,793,793
EV0245,MG ZS EV,BAT019,32,62807,11,65.4,43.65,383.27,283.57,82.31,63.7,792,792
EV0246,Hyundai Kona EV,BAT040,71,119649,61,56.2,25.45,360.81,110.72,69.19,26.3,791,791
EV0247,Tata Nexon EV,BAT022,41,40105,37,32.6,43.06,391.56,250,89.4,84,790,790
EV0248,BYD Atto 3,BAT013,30,15209,43,16.9,37.98,388.97,269.81,83.45,67,789,789
EV0249,Tesla Model 3,BAT030,72,131347,42,60.8,30.83,373.07,131.37,82.55,64.4,788,788
EV0250,Audi e-tron,BAT014,70,115492,54,55,35.46,352.85,101.82,82.81,65.2,787,787
EV0251,Hyundai Kona EV,BAT015,95,175553,41,61.6,25.48,355.32,171.74,60,0,786,786
EV0252,Nissan Leaf,BAT048,96,94412,13,32.8,44.84,394.25,298.52,60,0,785,785
EV0253,Tesla Model 3,BAT041,80,97563,37,40.7,42.77,418.05,214.39,69.47,27.1,784,784
EV0254,Tata Nexon EV,BAT030,42,32167,43,25.5,39.68,392.4,219.56,70.78,30.8,783,783
EV0255,Mahindra XUV400,BAT042,88,55392,51,21,26.67,369.86,285.59,72.85,36.7,782,782
EV0256,Tata Nexon EV,BAT005,27,48444,66,59.8,38.9,366.49,207.99,83.27,66.5,781,781
EV0257,Tata Nexon EV,BAT019,88,174085,13,65.9,43.15,387.93,267.18,67.66,21.9,780,780
EV0258,Mahindra XUV400,BAT010,34,41059,69,40.3,42.91,399.39,286.35,91.02,88.6,779,779
EV0259,BYD Atto 3,BAT032,91,53465,45,19.6,24.52,358.18,121.62,64.39,12.5,778,778
EV0260,Tesla Model 3,BAT031,96,139263,15,48.4,26.68,416.39,218.32,60,0,777,777
EV0261,Audi e-tron,BAT001,71,81854,45,38.4,31.06,415.88,134.6,79.81,56.6,776,776
